time 	 clk 	 step 	 eps 	 q
275	 0 	 00011011 	 00100100010001010111111011001011 	 0101110110010001111011010010111110110111110110010110000000000000
280	 1 	 00011100 	 00100100010001010111111011001011 	 0110010001001111100010101100101000010110010100011110000000000000
285	 0 	 00011100 	 00100100010001010111111011001011 	 0110010001001111100010101100101000010110010100011110000000000000
290	 1 	 00011101 	 01001100011111001010010010011101 	 0100110110011101001000100110000110001011110100000110000000000000
295	 0 	 00011101 	 01001100011111001010010010011101 	 0100110110011101001000100110000110001011110100000110000000000000
300	 1 	 00011110 	 01001100011111001010010010011101 	 0111101101100000011011011001010111010011111010111010000000000000
305	 0 	 00011110 	 01001100011111001010010010011101 	 0111101101100000011011011001010111010011111010111010000000000000
310	 1 	 00011111 	 01001001000011011011101101010111 	 1111011010010100101001010111001100010001110110000110000000000000
315	 0 	 00011111 	 01001001000011011011101101010111 	 1111011010010100101001010111001100010001110110000110000000000000
320	 1 	 00100000 	 01001001000011011011101101010111 	 1000010101110111001011100110011100100010010110010110000000000000
325	 0 	 00100000 	 01001001000011011011101101010111 	 1000010101110111001011100110011100100010010110010110000000000000
330	 1 	 00100001 	 10001001111011011000001110001110 	 0011100101011100101100101101110000011010001100100110000000000000
335	 0 	 00100001 	 10001001111011011000001110001110 	 0011100101011100101100101101110000011010001100100110000000000000
340	 1 	 00100010 	 10001001111011011000001110001110 	 0001001101110100011100110011100101100011011101100000000000000000
345	 0 	 00100010 	 10001001111011011000001110001110 	 0001001101110100011100110011100101100011011101100000000000000000
350	 1 	 00100011 	 11000101101101010110111011011001 	 1110101011010010011010000110101101010100011000000000000000000000
355	 0 	 00100011 	 11000101101101010110111011011001 	 1110101011010010011010000110101101010100011000000000000000000000
360	 1 	 00100100 	 11000101101101010110111011011001 	 1011011010101101111110011111001001101110001000000000000000000000
365	 0 	 00100100 	 11000101101101010110111011011001 	 1011011010101101111110011111001001101110001000000000000000000000
370	 1 	 00100101 	 01010000010110001110000011010111 	 0100111101100001011110100101010111110101011000000000000000000000
375	 0 	 00100101 	 01010000010110001110000011010111 	 0100111101100001011110100101010111110101011000000000000000000000
380	 1 	 00100110 	 01010000010110001110000011010111 	 0111111011100110010000101001000011111110011000000000000000000000
385	 0 	 00100110 	 01010000010110001110000011010111 	 0111111011100110010000101001000011111110011000000000000000000000
390	 1 	 00100111 	 11111110111011011011101101101110 	 0011110011000010101111000111101110011111011000000000000000000000
395	 0 	 00100111 	 11111110111011011011101101101110 	 0011110011000010101111000111101110011111011000000000000000000000
400	 1 	 00101000 	 11111110111011011011101101101110 	 1111101101110100100011110110000011011010000000000000000000000000
405	 0 	 00101000 	 11111110111011011011101101101110 	 1111101101110100100011110110000011011010000000000000000000000000
410	 1 	 00101001 	 00000100011101011000001101100001 	 1111110010110000010010111001110101100000000000000000000000000000
415	 0 	 00101001 	 00000100011101011000001101100001 	 1111110010110000010010111001110101100000000000000000000000000000
420	 1 	 00101010 	 00000100011101011000001101100001 	 1111001101001011101001011111110000100000000000000000000000000000
425	 0 	 00101010 	 00000100011101011000001101100001 	 1111001101001011101001011111110000100000000000000000000000000000
430	 1 	 00101011 	 00100111001010110110110101011001 	 1001100011101011110101001110000001100000000000000000000000000000
435	 0 	 00101011 	 00100111001010110110110101011001 	 1001100011101011110101001110000001100000000000000000000000000000
440	 1 	 00101100 	 00100111001010110110110101011001 	 1011010111001000010101001010001000100000000000000000000000000000
445	 0 	 00101100 	 00100111001010110110110101011001 	 1011010111001000010101001010001000100000000000000000000000000000
450	 1 	 00101101 	 11111110111111110110111000110101 	 1101010001011010011111010100000101100000000000000000000000000000
455	 0 	 00101101 	 11111110111111110110111000110101 	 1101010001011010011111010100000101100000000000000000000000000000
460	 1 	 00101110 	 11111110111111110110111000110101 	 0010001010100001101000000100101110100000000000000000000000000000
465	 0 	 00101110 	 11111110111111110110111000110101 	 0010001010100001101000000100101110100000000000000000000000000000
470	 1 	 00101111 	 00000100001110100110001101011010 	 1001011110101110010011101111111101100000000000000000000000000000
475	 0 	 00101111 	 00000100001110100110001101011010 	 1001011110101110010011101111111101100000000000000000000000000000
480	 1 	 00110000 	 00000100001110100110001101011010 	 1100111010001100111001011110011010000000000000000000000000000000
485	 0 	 00110000 	 00000100001110100110001101011010 	 1100111010001100111001011110011010000000000000000000000000000000
490	 1 	 00110001 	 11100110000001110001010110111010 	 0110011111000011110000100101011000000000000000000000000000000000
495	 0 	 00110001 	 11100110000001110001010110111010 	 0110011111000011110000100101011000000000000000000000000000000000
500	 1 	 00110010 	 11100110000001110001010110111010 	 1101011100001101110001010010100000000000000000000000000000000000
505	 0 	 00110010 	 11100110000001110001010110111010 	 1101011100001101110001010010100000000000000000000000000000000000
510	 1 	 00110011 	 01001010000001011001001110000011 	 0110001101100001000100010110000000000000000000000000000000000000
515	 0 	 00110011 	 01001010000001011001001110000011 	 0110001101100001000100010110000000000000000000000000000000000000
520	 1 	 00110100 	 01001010000001011001001110000011 	 0111010101001000001001101110000000000000000000000000000000000000
525	 0 	 00110100 	 01001010000001011001001110000011 	 0111010101001000001001101110000000000000000000000000000000000000
530	 1 	 00110101 	 01111010111011110010101011101111 	 1101111100101110110100100110000000000000000000000000000000000000
535	 0 	 00110101 	 01111010111011110010101011101111 	 1101111100101110110100100110000000000000000000000000000000000000
540	 1 	 00110110 	 01111010111011110010101011101111 	 1111000100110111110011000110000000000000000000000000000000000000
545	 0 	 00110110 	 01111010111011110010101011101111 	 1111000100110111110011000110000000000000000000000000000000000000
550	 1 	 00110111 	 11011110111001110110000100000010 	 1100101010101111001001100110000000000000000000000000000000000000
555	 0 	 00110111 	 11011110111001110110000100000010 	 1100101010101111001001100110000000000000000000000000000000000000
